formula,year
Ga0.937In0.063V3,1954
Ga0.999V3Zn0.001,1954
Ga0.9Nb3Sn0.1,1954
Ga0.253V0.747,1954
Ga0.255V0.745,1954
In0.1Nb3Sn0.9,1954
In0.2Nb3Sn0.8,1954
In0.2Si0.8V3,1954
Ir0.02Nb3Rh0.98,1954
Ir0.05Nb3Rh0.95,1954
Ir0.26Mo0.74,1954
Ga0.2Nb3Sn0.8,1954
Ga0.2Si0.8V3,1954
Ga0.222V0.778,1954
Ga0.233V0.767,1954
Ga0.236V0.764,1954
Ga0.245Nb0.755,1954
Ga0.247V0.753,1954
Ga0.251Nb0.749,1954
Fe0.135Ga1V2.865,1954
Fe1Nb4Si1,1954
Ga0.25Nb0.75,1954
Ga0.25Si0.75V3,1954
Ga0.25V0.75,1954
Ga0.281V0.719,1954
Ga0.28Si0.72V3,1954
Ga0.296V0.704,1954
Cr0.75Rh0.25,1954
Cr0.7Rh0.3,1954
Cr0.82Ir0.18,1954
Cr0.8Rh0.2,1954
Ga0.2V0.8,1954
Ga0.31V0.69,1954
Al0.402V0.598,1954
Fe0.06Si1V2.94,1954
Co0.02Nb3Rh0.98,1954
Co0.05Nb3Rh0.95,1954
Co0.1Nb3Rh0.9,1954
Co0.219Ga1V2.781,1954
Ce0.21Ga1V2.79,1954
Au1Zr3,1954
B0.2Nb5Si2.8,1954
Au0.95Nb3Rh0.05,1954
Mo0.6Si1V2.4,1954
Mo0.77Si0.23,1954
Mo0.8Pt0.2,1954
Mo3Si1,1954
B0.4Nb5Si2.6,1954
Cd0.006Ga0.994V3,1954
Cr3Ir1,1954
Co0.021Si1V2.979,1954
B0.8Nb5Si2.2,1954
B1C1Mo1.8Rh0.2,1954
Mn0.03Si1V2.97,1954
Mn0.21Si1V2.79,1954
Mn0.3Si1V2.7,1954
Mo0.036Si1V2.964,1954
Mo0.03Si1V2.97,1954
Mo0.62Os0.38,1954
Mo0.09Si1V2.91,1954
Ir1Ti3,1954
Ir2Zr1,1954
La0.006Si1V2.994,1954
La0.06Si1V2.94,1954
Ir1Nb1,1954
In0.15Nb3Sn0.85,1954
B0.6Nb5Si2.4,1954
Nb0.85Rh0.15,1954
Mo0.21Si1V2.79,1954
Mo0.48Si1V2.52,1954
Mo0.4Rh0.6,1954
Nb0.03Si1V2.97,1954
Nb0.3Si1V2.7,1954
Nb0.48Rh0.52,1954
Nb3Pt0.05Rh0.95,1954
Al1C1V2,1954
Al1Ni2Ta1,1954
Bi0.025Ga0.975V3,1954
Bi0.15Nb3Sn0.85,1954
Nb0.5Os0.5,1954
Nb0.62Pt0.38,1954
Nb0.71Sn0.29,1954
Nb0.72Sn0.28,1954
B2Ir1Mo2,1954
B2Mo5Si1,1954
Au1Nb2.85V0.15,1954
Be0.01Si0.99V3,1954
Be0.24Si0.76V3,1954
Al3V1,1954
Al1C1Cr2,1954
Al1C1Ti3,1954
Au0.98Nb3Rh0.02,1954
Au0.9Nb3Rh0.1,1954
Au0.2B5Mo1.8,1954
Au0.3Nb3Rh0.7,1954
Au0.7Nb3Pt0.3,1954
Al2C1Nb3,1954
Al2C1Ta3,1954
Al3Nb1,1954
Cr1Si1,1954
Cr1Si2,1954
Cr3Ga1,1954
Cr3Si1,1954
Au0.02Nb3Rh0.98,1954
Au0.05Nb3Rh0.95,1954
Au0.1Nb3Rh0.9,1954
Au0.7Nb3Rh0.3,1954
Cr0.5Rh0.5,1954
Cr0.78Ir0.22,1954
Ga1Nb0.7Ni2Zr0.3,1954
Ga1Ti3,1954
Ga2Ta3,1954
Ga3Ti1,1954
As1Os1Zr1,1954
Co0.9Rh0.1V3,1954
Nb3Os0.1Rh0.9,1954
Nb3Os0.3Rh0.7,1954
Nb3Pb0.15Sn0.85,1954
Nb3Pd0.02Rh0.98,1954
Nb3Pd0.05Rh0.95,1954
Nb3Pd0.1Rh0.9,1954
Nb3Pt0.02Rh0.98,1954
Cr0.21Si1V2.79,1954
Nb3Pt0.1Rh0.9,1954
Nb3Pt0.3Rh0.7,1954
Nb6Ni16Si7,1954
Ni16Si7Ta6,1954
Ni16Si7Ti6,1954
Ni2Sn1V1,1954
Os4Zr11,1954
Nb3Os0.05Rh0.95,1954
Al2N1Nb3,1954
As0.05Nb3Sn0.95,1954
As0.15Nb3Sn0.85,1954
Al17.5Ga7.5Nb75,1954
Nb2.7Sn1V0.3,1954
Nb2.7Sn1Zr0.3,1954
Nb2.85Sn1Ta0.15,1954
Nb2.85Sn1Ti0.15,1954
Al1Mo3,1954
Al1Nb1Ni2,1954
Al1Zr3,1954
Al0.1Ga0.9V3,1954
Al0.1Nb3Sn0.9,1954
Al0.24Si0.76V3,1954
Al0.25Nb0.728Zr0.022,1954
Al0.25Nb0.743Zr0.007,1954
Al0.2B5Mo1.8,1954
Al0.2Nb3Sn0.8,1954
Al0.39Nb3Sn0.61,1954
Al0.3Ga0.7V3,1954
Al0.3Nb3Sn0.7,1954
Al0.4Nb3Sn0.6,1954
Al0.4Si0.6V3,1954
Al0.5Ga0.5Nb3,1954
Al0.5Nb3Sn0.5,1954
Al0.6Nb3Sn0.4,1954
Al0.025Si0.225V0.75,1954
Al0.02Nb3Sn0.98,1954
Al0.02Si0.98V3,1954
Al0.03Si0.22V0.75,1954
Al0.04Nb3Sn0.96,1954
Al0.05Nb3Sn0.95,1954
Nb3Si0.6Sn0.4,1954
Nb3Sn0.85Tl0.15,1954
Si1V2.58Zr0.42,1954
Ru3Si4Zr2,1954
Al0.05Si0.2V0.75,1954
Al0.06Nb3Sn0.94,1954
Al0.075Si0.175V0.75,1954
Al0.08Nb3Sn0.92,1954
Nb3Sb0.75Sn0.25,1954
Nb3Sb0.8Sn0.2,1954
Nb3Sb0.5Sn0.5,1954
Nb3Sb0.7Sn0.3,1954
Nb3Si0.06Sn0.94,1954
Nb3Si0.25Sn0.75,1954
Nb3Si0.27Sn0.73,1954
Nb3Si0.5Sn0.5,1954
Nb2.7Sn1Ta0.3,1954
Nb2.7Sn1Ti0.3,1954
Nb3Sn0.9Tl0.1,1954
Nb3Sn1,1954
Nb4Ni1Si1,1954
Nb5Pt3,1954
Nb2Si1,1954
Nb2Sn3,1954
Nb2.85Sn1V0.15,1954
Nb2.85Sn1Zr0.15,1954
Nb2.934Sn1V0.066,1954
Nb3Os0.02Rh0.98,1954
Nb3Sb0.9Sn0.1,1954
Nb1Re1Si1,1954
Nb1Sn2,1954
Nb2.75Sn1Ta0.25,1954
Re0.192Si1V2.808,1954
Rh0.14Zr0.86,1954
Rh0.33Zr0.67,1954
Rh0.4Zr0.6,1954
Rh1Si1Ti1,1954
Rh37Zr63,1954
Ru0.3Si1V2.7,1954
Al0.8Nb3Sn0.2,1954
